"idencuesta","c11_w01","c11_w03","c43_w05","c08_01_w01","c08_02_w01","c08_03_w01","c08_04_w01","c08_01_w02","c08_02_w02","c08_03_w02","c08_04_w02","c08_01_w03","c08_02_w03","c08_03_w03","c08_04_w03","c08_01_w04","c08_02_w04","c08_03_w04","c08_04_w04","c08_05_w04","c08_02_w05","c08_04_w05","c08_05_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_3","class_part_4","class_part_5"
3301111,2,1,1,1,1,1,5,1,1,1,5,3,1,1,5,1,3,1,4,3,1,5,1,2,2,2,2,2,"3","1","3"
3301122,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,1,1,3,1,1,2,1,1,1,1,1,1,"2","2","4"
3301143,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"2","2","4"
3301162,1,1,1,2,1,1,3,3,1,1,2,2,1,1,4,2,1,1,2,1,1,3,1,1,1,2,1,1,"2","2","1"
3301173,2,1,1,3,3,3,3,1,1,1,1,2,1,1,1,1,2,1,3,2,1,1,2,1,1,1,1,1,"2","2","4"
3301191,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3301202,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3301212,2,2,2,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,5,1,1,1,1,1,1,1,2,1,"1","3","5"
3301221,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,"1","4","5"
3301232,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"2","2","1"
3301233,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"2","2","4"
3301241,1,1,1,1,1,4,4,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,"2","2","1"
3301252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
3301253,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,"1","2","4"
4101021,1,1,1,1,1,1,4,1,1,1,5,1,1,1,3,1,3,1,1,2,1,2,1,2,2,1,1,1,"2","2","1"
4101023,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4101032,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","2","4"
4101034,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,5,1,1,3,1,1,2,1,2,1,"3","1","1"
4101042,1,1,2,4,1,1,4,1,1,1,5,2,1,1,2,3,3,1,4,4,1,1,1,2,2,1,2,1,"3","1","1"
4101044,1,2,1,1,1,1,3,1,1,1,5,3,1,1,1,2,1,1,2,2,1,4,1,1,2,1,1,2,"3","1","1"
4101053,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,"1","4","5"
4101054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4101055,1,1,1,1,1,1,5,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,"2","2","1"
4101057,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","4"
4101065,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,"1","4","5"
4101071,2,1,2,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,1,1,1,2,"3","1","1"
4101111,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4101113,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4101133,2,2,1,1,1,1,5,3,1,3,4,1,1,1,4,1,1,1,3,1,1,3,1,2,2,2,1,1,"3","1","3"
4101134,1,1,1,1,1,1,1,3,2,2,3,3,1,1,4,2,1,2,3,3,1,3,3,1,1,2,1,1,"2","2","1"
4101135,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","4"
4101141,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,"2","2","4"
4101143,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4102051,1,1,1,2,1,1,1,1,1,1,1,2,3,3,1,3,2,1,1,1,1,3,1,1,1,1,1,1,"2","2","4"
4102052,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,"2","2","4"
4102055,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","2","4"
4102065,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4102082,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4102083,1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,3,1,1,4,1,1,2,1,1,2,"3","1","1"
4102091,2,2,1,2,2,1,3,2,2,1,3,2,1,1,1,2,3,1,4,3,1,1,3,1,1,1,2,1,"1","3","2"
4102102,2,2,2,3,1,1,3,3,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,"1","4","5"
4102121,1,1,1,5,3,1,3,5,2,1,2,5,2,2,5,4,3,1,2,3,1,3,1,2,2,2,2,1,"3","1","3"
4106011,1,1,2,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4106022,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,3,1,1,1,1,1,1,"2","2","4"
4106023,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,"1","4","5"
4106025,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,"2","2","4"
4106032,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,"1","4","5"
4106053,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"2","2","4"
4106062,1,2,1,1,3,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","2","4"
4106063,2,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,"1","4","5"
4106065,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","2","4"
4106071,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,"1","2","4"
4106083,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","4"
4106094,1,1,1,3,3,1,3,5,3,3,2,2,2,2,3,1,4,3,3,3,1,3,2,1,2,1,2,1,"3","1","1"
4106103,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,1,1,1,1,1,1,"1","4","5"
4106111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,"2","2","4"
4106112,1,1,1,4,3,1,1,2,1,1,1,1,1,1,1,2,3,1,4,4,1,1,1,2,1,1,2,1,"3","1","1"
4106113,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"2","2","1"
4204011,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,"2","2","4"
4204021,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4204023,1,2,1,4,3,1,4,1,1,1,1,1,1,1,1,1,1,1,5,2,2,5,3,2,1,1,2,2,"3","1","3"
4204031,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,"2","2","4"
4204042,2,2,2,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,"1","4","5"
4204052,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4204063,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"1","4","4"
4204081,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1,1,1,2,2,"3","3","2"
4204082,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4204091,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4204093,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4204102,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"1","4","5"
4204103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4204113,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4301011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4301022,1,1,1,3,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,3,1,1,1,2,1,1,"2","2","1"
4301023,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,4,1,1,1,1,1,1,1,1,1,2,1,"2","2","1"
4301033,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4301061,1,1,1,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"2","2","4"
4301071,1,1,1,3,1,1,1,4,1,1,4,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,1,1,"2","2","1"
4301081,1,1,1,3,3,1,1,4,1,1,4,1,1,1,1,1,3,1,1,1,1,2,2,1,2,1,1,1,"2","2","1"
4301082,1,2,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,2,"1","2","1"
4301083,2,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,"1","4","5"
4301091,1,1,1,2,1,1,2,1,1,1,1,2,1,1,4,2,3,1,3,3,3,3,3,1,1,2,1,1,"2","2","1"
4301092,2,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4301122,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4301141,1,1,1,3,1,1,2,3,1,1,3,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,1,1,"2","2","4"
4301143,2,2,2,2,1,3,1,4,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,"1","4","5"
4301153,1,1,1,3,4,4,2,2,2,3,1,1,1,3,1,1,3,1,1,3,1,3,2,2,1,1,1,1,"2","2","1"
4301162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4301164,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4301171,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4301173,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
4301182,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4301184,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
4301201,1,1,1,1,2,1,3,1,1,1,1,3,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,"2","2","4"
4301211,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,"2","2","1"
4301213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
