"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
4301233,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
4301251,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
4301252,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101014,2,2,2,4,4,1,3,1,2,2,1,2,1,"1"
5101015,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101021,1,2,2,3,1,1,3,1,2,1,1,2,1,"1"
5101035,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101053,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101055,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101062,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101064,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101066,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101067,2,2,2,1,2,1,1,1,1,1,1,1,1,"4"
5101072,2,2,2,1,1,1,2,1,1,1,1,1,1,"4"
5101074,2,2,2,2,1,1,2,1,1,1,1,1,1,"4"
5101075,1,2,2,3,1,1,1,1,2,1,1,1,1,"1"
5101094,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101095,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101103,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101105,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101112,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101117,2,2,2,1,1,1,3,4,1,1,1,2,2,"1"
5101123,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101125,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101126,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101131,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101132,1,1,2,1,1,1,1,2,1,1,1,1,1,"3"
5101136,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101145,1,1,1,1,3,1,1,1,1,2,1,1,1,"3"
5101151,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101153,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101154,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101155,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101161,2,2,2,3,3,3,4,3,2,2,2,2,2,"2"
5101162,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101174,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101182,1,2,2,2,1,1,4,1,1,1,1,2,1,"1"
5101196,1,1,2,1,1,2,2,2,1,1,1,1,1,"3"
5101197,2,2,2,1,1,1,2,1,1,1,1,1,1,"4"
5101201,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101204,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101205,1,2,2,1,1,4,4,4,1,1,2,2,2,"1"
5101206,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101207,1,1,1,1,1,2,1,1,1,1,1,1,1,"3"
5101215,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101221,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101222,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101224,2,2,2,1,2,1,3,1,1,1,1,2,1,"1"
5101226,1,1,2,1,1,1,1,3,1,1,1,1,2,"3"
5101251,1,1,2,1,3,2,4,1,1,2,1,2,1,"1"
5101252,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101253,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101261,2,2,2,2,1,3,3,3,1,1,2,2,2,"1"
5101291,2,2,2,1,4,1,1,1,1,2,1,1,1,"4"
5101303,2,2,2,2,1,1,2,2,1,1,1,1,1,"4"
5101341,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101343,2,2,2,1,3,1,1,1,1,2,1,1,1,"4"
5101362,1,1,1,1,2,1,1,1,1,1,1,1,1,"3"
5101371,2,2,1,3,1,4,5,4,2,1,2,2,2,"1"
5101372,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101403,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101404,2,2,2,1,2,1,3,1,1,1,1,2,1,"1"
5101422,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101443,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101462,1,1,2,1,2,1,3,1,1,1,1,2,1,"3"
5101463,2,2,2,1,2,1,1,1,1,1,1,1,1,"4"
5101465,2,2,1,1,3,1,1,1,1,2,1,1,1,"4"
5101472,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101481,2,2,1,1,1,1,2,1,1,1,1,1,1,"4"
5101482,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101484,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101485,1,2,1,2,3,1,1,1,1,2,1,1,1,"4"
5101486,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101491,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5101492,2,2,2,1,1,1,4,1,1,1,1,2,1,"1"
5101494,1,2,2,1,1,2,3,1,1,1,1,2,1,"1"
5101495,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101501,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101505,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101507,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5101513,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101514,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5101515,1,1,2,1,1,2,1,1,1,1,1,1,1,"3"
5101521,2,2,1,1,3,1,1,1,1,2,1,1,1,"4"
5101523,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101525,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5101526,2,2,1,1,1,1,3,1,1,1,1,2,1,"1"
5101531,1,1,2,1,1,1,3,2,1,1,1,2,1,"3"
5101533,1,2,2,1,1,1,3,5,1,1,1,2,2,"1"
5101536,1,1,2,1,1,1,3,3,1,1,1,2,2,"1"
5103031,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5103033,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5103038,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109013,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109033,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109034,2,2,1,4,1,1,3,1,2,1,1,2,1,"1"
5109051,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5109052,1,1,1,1,1,2,1,1,1,1,1,1,1,"3"
5109057,2,2,1,3,3,3,3,1,2,2,2,2,1,"2"
5109103,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5109114,2,2,2,1,1,1,3,1,1,1,1,2,1,"1"
5109115,2,2,2,4,1,1,1,1,2,1,1,1,1,"4"
5109124,2,2,2,2,1,1,3,1,1,1,1,2,1,"1"
